,tweet_id,author_id,tweet,lang,tweet_time,like_count,follower_count,following_count,tweet_count,retweet_count,quote_count,reply_count,call_berlin_time
8961,1389460647684067333,460288171,"VORBÖRSE SCHWEIZ:

$SMI +0,11%
$SMIM +0,03%

$CSGN -0,9%
$GEBN +2,6% (Zahlen)

$ADEN +1,4% (Zahlen)
$AMS -3,4% (Zahlen, Ausblick)
$BALN -2,5% (ex Dividende)
$EFGN -2,8% (ex Dividende)
$HELN -2,9% (ex Dividende)
$OERL +3,1% (Zahlen)
$SIGN +1,8% (Zahlen)
$SWON +1,1% (Übernahme)",de,2021-05-04 06:03:27+00:00,1,5123,297,21107,0,0,0,2022-05-07 11:06:56
8960,1389460843838988288,460288171,"SWISS PREMARKET:

$SMI +0,11%
$SMIM +0,03%

$CSGN -0,9%
$GEBN +2,6% (earnings)

$ADEN +1,4% (earnings)
$AMS -3,4% (earnings, outlook)
$BALN -2,5% (ex dividend)
$EFGN -2,8% (ex dividend)
$HELN -2,9% (ex dividend)
$OERL +3,1% (earnings)
$SIGN +1,8% (earnings)
$SWON +1,1% (acquis.)",en,2021-05-04 06:04:14+00:00,2,5123,297,21107,0,0,1,2022-05-07 11:06:56
8959,1389479438451200003,230642742,"@Jackobli Zuckerproduktion in der Schweiz?
Wie sollen arme Agrarländer denn die notwendigen Devisen für technisch hochwertige Importgüter erwirtschaften, wenn sie ihre Produkte nicht mehr an reiche Industrieländer verkaufen können?",de,2021-05-04 07:18:08+00:00,0,374,1226,20080,0,0,0,2022-05-07 11:06:56
8958,1389479482860441600,1324919674077843457,"$SMI #VAMP for the next session: 
Upper: $11288.1103 (+1.5209%)
Lower: $11007.391 (-1.0037%)
Momentum: $10650.1334
#DDAP $EWL #SWITZERLAND",en,2021-05-04 07:18:18+00:00,0,1380,218,8090,0,0,0,2022-05-07 11:06:56
8957,1389482015926456321,230642742,"Zuckerproduktion in der Schweiz?
Wie sollen arme Agrarländer denn die notwendigen Devisen für technisch hochwertige Importgüter erwirtschaften, wenn sie ihre Produkte nicht mehr an reiche Industrieländer verkaufen können?",de,2021-05-04 07:28:22+00:00,1,374,1226,20080,0,0,0,2022-05-07 11:06:56
8956,1389524496265138181,385323325,"4/10 

Rule of thumb I

- I'm a somewhat typical Swiss. 

- Swiss per capita GDP (PPP) is about 4x times the global average 

- GDP misses *some* things, but it does so for both rich and poor

- Average people pay less for the government than they receive, but not hugely much",en,2021-05-04 10:17:10+00:00,1,1514,2787,5504,0,0,1,2022-05-07 11:06:56
8955,1389524498928504833,385323325,"6/10 

Rule of thumb II

–––&gt; Roughly speaking, I can thus look at a time when real GDP per capita in Switzerland was about 4 times lower (first half of the 20th century, I think) and use this as an image. 

Is this shorthand mental image off the mark by more than a factor of 2?",en,2021-05-04 10:17:11+00:00,1,1514,2787,5504,0,0,1,2022-05-07 11:06:56
8954,1389636788163997698,1362363375909363712,"Developments by govt.
1. Highest unemployment.
2. Highest GDP growth.
2. Demonetisation.
3. Swiss black money came back to Indians.
4. Mallya and nirav safely escaped from India
5. Poor health and education for all
6. What's else we need?

#CovidIndia #India",en,2021-05-04 17:43:23+00:00,0,6,17,171,0,0,0,2022-05-07 11:06:56
8953,1389656375517753347,25296597,"@beathabegger @angieromerofdp @fdp_zh @mehblau @andrisilbi_ Gemäss verschiedenen Studien läuft es eigentlich gut in der Schweiz, mit einer guten Balance zwischen Invest Arbeitgeber und privat. Mehr ist immer möglich!",de,2021-05-04 19:01:13+00:00,0,366,405,3757,0,0,1,2022-05-07 11:06:56
8952,1389675059736977408,922975166,"@FrauMaja Suggestivpreise wie 9,99€ gibt es in der Schweiz nicht, da die Schweiz nicht mit Euro zahlt. Aber auch in der landeseigenen Währung sind sie unüblich.

So?",de,2021-05-04 20:15:27+00:00,0,534,581,108224,0,0,1,2022-05-07 11:06:56
8951,1389681667284025345,957995552205037569,"@tom_swiss communities, which affects the level of underlying social pathologies that police are called upon to deal with. That's my bleeding heart social democrat-I-don't-want-kids-to-be-shot and we must invest in social capital viewpoint.",en,2021-05-04 20:41:43+00:00,0,52,394,2070,0,0,0,2022-05-07 11:06:56
8950,1389687782428221442,3164767448,"High Impact Economic Events - Wednesday
- NZ Unemployment Rate
- Swiss Inflation Rate YoY (April)

What we have already been hit with:
- US Balance of Trade MAR records largest deficit on record
- Canadian Balance of Trade unexpectedly negative

#USDCAD #USD #NZD #CHF #Economic",en,2021-05-04 21:06:01+00:00,2,11532,3969,11638,0,0,0,2022-05-07 11:06:56
8949,1389692069527134208,1324919674077843457,"$SMI #VAMP for the next session: 
Upper: $11272.8591 (+2.752%)
Lower: $10954.4695 (-0.15%)
Momentum: $10657.5019
#DDAP $EWL #SWITZERLAND",en,2021-05-04 21:23:03+00:00,0,1380,218,8090,0,0,0,2022-05-07 11:06:56
8948,1389699344429944832,729829167680901120,@uncle_deluge theres a huge ticker screen showing GDP stats at the IMF headquarters in a secret vault under the swiss alps and all the immortal vampires get really sad if the numbers dont go up,en,2021-05-04 21:51:57+00:00,5,488,441,4175,0,0,0,2022-05-07 11:06:56
8947,1389700192912478208,1313190581661839360,"@tannguyen2013 @George_Friedman China has a relatively poor population, look at gdp per capita of USA vs China or Switzerland. How many ordinary Chinese people can afford Apple Macs ?",en,2021-05-04 21:55:20+00:00,0,22,203,3894,0,0,1,2022-05-07 11:06:56
8946,1389714943948345346,4365205457,"@KrankieCult @patch_oulii @Grouse_Beater @JennyMarra All do at least as well , and most better ,than the UK in GDP purchasing power parity, infant mortality, life expectancy , PISA literacy and numeracy scores and even the World Happiness Index. Oh, and add Ireland , Switzerland, Sweden and Singapore to that list",en,2021-05-04 22:53:56+00:00,1,126,216,2856,0,0,1,2022-05-07 11:06:56
8945,1389736976199438337,471516384,"Listen to this the exchange rate between euros, Swiss money and British pounds is 1.",en,2021-05-05 00:21:29+00:00,0,1246,4946,445440,0,0,0,2022-05-07 11:06:56
8944,1389739958659915776,949681265082499072,@NeerajKA MY BOSS IS SUPER FOREX INVESTOR AND NOW I OWE BEST BUY 3.16 SWISS FRANC WTF IS A SWISS FRANC,en,2021-05-05 00:33:20+00:00,0,220,825,7532,0,0,0,2022-05-07 11:06:56
8943,1389753524045500418,529033551,"@R0yalewcheese @rothbardsarmy @LibertarianCT Well, inflation is at an all time low. Naturally the rich are not impacted. Their fortunes are secured in Swiss numbered bank accounts, or tax havens like Netherlands, Singapore, Ireland, Caymans, Bermuda. They are future proofed from harm. Unless, Xi Jinping realises his dream.",en,2021-05-05 01:27:15+00:00,0,306,1141,9991,0,0,1,2022-05-07 11:06:56
8942,1389823743485222913,460288171,"VORBÖRSE SCHWEIZ:

$SMI +0,58%
$SMIM +0,54%

$ALC +0,5% (Zahlen)
$CFR +0,8% (Kurszielerhöh.)
$GEBN +1,4% (Heraufstufung)
$ROG +1% (Produktnews)

$AMS +3% (Heraufstufung)
$CLN +1% (Kurszielerhöh.)
$LAND +1,9% (Zahlen, Ausblick)
$SFZN +0,4% (Novavax)

Übrige Aktien höher gestellt.",de,2021-05-05 06:06:16+00:00,0,5123,297,21107,1,0,1,2022-05-07 11:06:56
8941,1389824276329549825,460288171,"SWISS PREMARKET:

$SMI +0,58%
$SMIM +0,54%

$ALC +0,5% (earnings)
$CFR +0,8% (broker call)
$GEBN +1,4% (broker calls)
$ROG +1% (product news)

$AMS +3% (broker call)
$CLN +1% (broker call)
$LAND +1,9% (earnings, outlook)
$SFZN +0,4% (Novavax)

Most other shares somewhat higher.",en,2021-05-05 06:08:23+00:00,2,5123,297,21107,2,0,0,2022-05-07 11:06:56
8940,1389849356602429441,467463940,Die Teuerung in der Schweiz ist wieder positiv - und zwar liegt sie im April bei 0.3%. Noch im Dezember ging war die Inflation mit 1.7% negativ. Vor allem die höheren Ölpreise schlagen jetzt durch. Zudem ist der Franken im 1. Quartal schwächer geworden.,de,2021-05-05 07:48:03+00:00,12,25716,3795,49374,0,0,2,2022-05-07 11:06:56
8939,1389920388914847747,58723497,Anyone else's Inbox and Spam suddenly filled with Nigerian orphans with Swiss Bank accounts looking for your help... not sure if economy but I'm getting at least 4 or 5 a day.💸💰,en,2021-05-05 12:30:18+00:00,0,70,115,1700,0,0,0,2022-05-07 11:06:56
8938,1389953400633180160,2168683008,"@DavidaHodge @TheBitcoinConf Again, allocate all you want. I don’t care if you buy $tsla soybean futures, Andy Warhols or Swiss Francs.

It’s just weird when two USDEUR forex traders discuss USDEUR and some guy keeps butting in “what abt that Krona, huh?! I’m 70% USDEUR MYSELF BUT WHAT ABT THAT KRONA HUH?!”",en,2021-05-05 14:41:29+00:00,0,2460,547,24986,0,0,2,2022-05-07 11:06:56
8937,1390009418058698761,3034943843,"@alain_berset @WHO @BAG_OFSP_UFSP @alain_berset, Switzerland needs urgently to invest in ventilation in all our public indoor settings: HEPA filters, CO2 meters (NDIR). SARS-CoV-2 is an airborne infection.
We CAN'T lose more lives and time with the wrong measures.",en,2021-05-05 18:24:05+00:00,18,2746,3163,8684,4,0,1,2022-05-07 11:06:56
8936,1390027279808581632,934518721028214785,"@AntiMuhoozi Definitely not in a Swiss  bank, these people have assets in foreign countries because it's the only safe space they have to spend and invest their stolen money . That structure may or may not be the his but surely they have such structures out there and many of them .",en,2021-05-05 19:35:03+00:00,1,7556,8310,51793,0,0,0,2022-05-07 11:06:56
8935,1390041410200645632,938926171336605697,@SafizeV @byVNTY WENN.   Wenn er Zerifiziert ist auf der jeweiligen Börse.   Wenn er die Steuern drauf zahlen kann nicht so bei mir in Swiss da ist alles bisschen entspannter. Alles wenn und aber. Man stellt sich das einfacher vor als es im Endeffekt ist,de,2021-05-05 20:31:12+00:00,0,41,212,1074,0,0,1,2022-05-07 11:06:56
8934,1390054461201080321,1324919674077843457,"$SMI #VAMP for the next session: 
Upper: $11283.0704 (+1.568%)
Lower: $10971.5702 (-1.236%)
Momentum: $10665.7766
#DDAP $EWL #SWITZERLAND",en,2021-05-05 21:23:04+00:00,0,1380,218,8090,0,0,0,2022-05-07 11:06:56
8933,1390154475478859777,348830056,"@GeorgeTakei What Jenre?  Yes Its the less common J spelling That like Bernie Maddoff or the @USTreasury @WorldBank Or Others in Sigapore, Swiss,  Saying invest all your $$$ with them  Its safe.",en,2021-05-06 04:00:29+00:00,0,573,999,30220,0,0,0,2022-05-07 11:06:56
8932,1390173696585867269,74514728,#Swiss  #Lonza to invest about CHF 850 million to build two new facilities in #Switzerland and the U.S. to meet increasing market demand in biologics according to statement $LONN,en,2021-05-06 05:16:52+00:00,0,593,249,6096,0,0,0,2022-05-07 11:06:56
8931,1390176106473476096,74514728,"Deutsche Boerse agrees to buy #UBS’s remaining remaining 48.8% stake in #Clearstream Fund Centre to become the sole shareholder in the fund distribution platform, according to statement #Switzerland $UBSG",en,2021-05-06 05:26:26+00:00,0,593,249,6096,0,0,0,2022-05-07 11:06:56
8930,1390186091031023619,460288171,"VORBÖRSE SCHWEIZ:

$SMI -0,02%
$SMIM -0,25%

$LONN +0,9% (Kapazitätsausbau)
$UBSG +0,6% (Devestition)

$CLN +0,4% (Spekulationen)
$KNIN -1,2% (ex Dividende)
$LISP -1,4% (ex Dividende)
$OERL -1,1% (Herunterstufung)
$SCHP +0,4%
$VATN -0,8% (Zahlen)
$VONN +0,4%",de,2021-05-06 06:06:07+00:00,0,5123,297,21107,0,0,0,2022-05-07 11:06:56
8929,1390186339602214912,460288171,"SWISS PREMARKET:

$SMI -0,02%
$SMIM -0,25%

$LONN +0,9% (capacity increase)
$UBSG +0,6% (divestment)

$CLN +0,4% (rumors)
$KNIN -1,2% (ex dividend)
$LISP -1,4% (ex dividend)
$OERL -1,1% (broker call)
$SCHP +0,4%
$VATN -0,8% (earnings)
$VONN +0,4%",en,2021-05-06 06:07:06+00:00,2,5123,297,21107,0,0,0,2022-05-07 11:06:56
8928,1390201771763638272,2193327491,@patrik_mueller Komiker haben Konjunktur in der Schweiz!,de,2021-05-06 07:08:25+00:00,0,5,42,20,0,0,0,2022-05-07 11:06:56
8927,1390213378132615171,1211427329173442561,@buechi_bchi @georg_kofler @ben_brechtken Laut Ihrem Profil leben Sie in der Schweiz (Steuerquote im Verhältnis zum BIP um 20%). Im Euroraum lag die Steuerquote 2019 bei 41%. Da scheinen Sie mir mit Ihrer Sympathie für die Grünen in D doch ein ordentlicher Heuchler zu sein. Und das Foto unterstreicht diese Heuchelei.,de,2021-05-06 07:54:32+00:00,39,70,420,15547,1,0,2,2022-05-07 11:06:56
8926,1390231741751824387,246266372,"@nikhil_palsingh @pashulman In a country like Switzerland with large institutional landlords, housing is mostly a low risk inflation tracking asset in a diversified portfolio. Which is much more aligned with renters interests than with over leveraged small landlords taking decisions based on emotions.",en,2021-05-06 09:07:31+00:00,7,454,1097,3434,0,0,0,2022-05-07 11:06:56
8925,1390232165171056641,2739334735,"@kwiskolad This US inflation and no-loss/win clause non-withstanding. Basically there's a gamble based information that we don't have. However, even with an excess of 200mio. The contract would be cheaper than the Dutch or Swiss one. In a sense we're splitting hairs. 
Cheers.",en,2021-05-06 09:09:12+00:00,0,2195,138,25791,0,0,0,2022-05-07 11:06:56
8924,1390326003357077507,158138778,@DavidGlenbridge @DggrIan @matt_greener @Nigel_Farage @reformparty_uk Are you seriously suggesting that people don’t migrate and work elsewhere. Every major economy requires immigration. The Swiss economy relies on 25% of its workforce being immigramts ffs. 😳And that’s not why the minimum wage was brought in. 🙄,en,2021-05-06 15:22:04+00:00,0,2577,3022,25552,0,0,1,2022-05-07 11:06:56
8923,1390326713838669824,1335237183234519040,@_dr_g_st @DunnsDee @kieraneverson You are right about the regional disparities in SK but would add that SK on avg more uniformly modernised such that its poorest province has GDP PC of Greece vs richest of Switzerland as compared to China which is still quite rural and GDP PC of Fiji vs GDP of Switzerland,en,2021-05-06 15:24:54+00:00,0,12077,1538,10346,0,0,0,2022-05-07 11:06:56
8922,1390339186457186306,1312246113244794881,"SWISS GOVERNMENT SAYS  U.S. SUPPORT FOR WAIVING INTELLECTUAL PROPERTY RIGHTS FOR COVID-19 VACCINES IS IMPORTANT ANNOUNCEMENT, BUT MANY QUESTIONS STILL OPEN #News #Forex #COVID19 #VACCINE #US #SWISS",en,2021-05-06 16:14:27+00:00,0,5177,5,39133,0,0,0,2022-05-07 11:06:56
